,country,year,iso_code,gdp_p_cap,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
400,Eritrea,2005,ERI,2287,2826653,NA,0.018,0.006,0.769,0,-0.01,0.272,NA,0.227,NA,NA,NA,NA,NA,0.296,8.624,NA,NA,NA,8.328,NA,1199.656,NA,NA,NA,NA,NA,1.91,2.073,3.24,1.146,1.55,0.548,0.751,0.266,NA,NA,3.391,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0.01,NA,5.86,5.4,NA,NA
401,Eritrea,2010,ERI,1962,3170437,NA,0.017,0.005,0.497,0,0,0.157,NA,0.241,NA,NA,NA,NA,NA,0.383,11.14,NA,NA,NA,10.758,NA,650.2,NA,NA,NA,NA,NA,1.7,1.845,3.31,1.044,1.55,0.489,0.48,0.151,NA,NA,2.061,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,5.85,5.39,NA,NA
402,Eritrea,2015,ERI,NA,3342818,NA,0.077,0.023,0.634,0.003,0.48,0.19,NA,0.269,NA,NA,NA,NA,NA,0.788,14.187,NA,NA,NA,13.399,NA,704.796,NA,NA,NA,NA,NA,1.774,1.888,3.57,1.068,1.67,0.5,0.557,0.167,NA,NA,2.356,0.01,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,6.31,5.93,NA,NA
403,Estonia,1990,EST,NA,1565246,27066095616,0.483,0.309,37.65,-1.22,-3.14,24.054,1.391,0.313,25.175,16.084,31.707,20.257,1.171,11.62,1088.859,786.155,2.84,32.103,255.997,0.143,81501.891,4.713,0,0,2.721,1.738,25.248,24.105,2.3,1.469,1.94,1.239,9.127,5.831,0.091,0.143,127.571,0.1,0.17,0.29,0.1,0.13,0.18,0.03,0.04,0.1,0.01,0,0.07,0.1,0.06,37.73,39.52,-5.943,-15.78
404,Estonia,1995,EST,11362,1433026,18507421696,0.348,0.243,18.213,-1.823,-9.1,12.709,0.984,0.312,13.071,9.121,15.615,10.897,0.844,13.321,1204.691,866.862,2.841,39.682,281.56,0.424,43380.742,3.359,0,0,1.289,0.9,13.433,12.212,1.73,1.207,1.23,0.858,3.485,2.432,0.014,0.02,62.166,0.06,0.08,0.15,0.09,0.13,0.18,0.03,0.04,0.09,0.01,0,0.03,0.04,0.01,17.5,19.25,-2.598,-14.26
405,Estonia,2000,EST,15703,1399111,22945026048,0.374,0.267,15.485,-0.427,-2.68,11.068,0.675,0.287,10.848,7.753,18.58,13.28,0.81,15.217,1290.784,926.841,2.841,46.631,298.632,0.622,39562.898,2.412,0,0,1.503,1.074,12.637,11.607,1.47,1.051,1.22,0.872,2.715,1.94,0.033,0.046,55.353,0.05,0.06,0.12,0.08,0.12,0.18,0.03,0.04,0.08,0.02,0,0.03,0.03,0.02,16.24,17.68,3.094,19.98
406,Estonia,2005,EST,22807,1355650,29813616640,0.373,0.275,17.156,-0.212,-1.22,12.655,0.575,0.275,11.804,8.707,18.986,14.005,0.637,17.026,1373.758,983.881,2.841,54.632,314.501,0.877,47554.758,2.162,0,0,1.741,1.284,14.716,13.713,1.35,0.996,1.23,0.907,3.19,2.353,0.035,0.048,64.468,0.04,0.06,0.1,0.08,0.12,0.17,0.02,0.04,0.08,0.02,0,0.03,0.03,0.02,18.59,19.95,1.83,10.67
407,Estonia,2010,EST,22741,1332103,26952075264,0.31,0.233,18.995,4.506,31.1,14.26,0.705,0.266,14.267,10.71,17.652,13.252,0.655,19.206,1461.641,1046.014,2.841,62.331,330.157,1.092,54912.176,2.714,0,0,1.328,0.997,16.35,15.374,1.29,0.968,1.31,0.983,3.052,2.291,0.028,0.037,73.149,0.02,0.06,0.1,0.07,0.11,0.16,0.02,0.04,0.07,0.02,0,0.02,0.03,0.02,20.48,21.78,-1.343,-7.07
408,Estonia,2015,EST,27610,1315330,31485411328,0.206,0.156,15.859,-3.026,-16.02,12.057,0.504,0.226,11.269,8.568,16.569,12.597,0.526,21.056,1553.061,1112.869,2.842,67.946,346.529,1.82,52014.262,2.173,0,0,0.915,0.696,13.958,9.283,1.18,0.897,1.42,1.08,3.403,2.587,0.05,0.066,68.416,0.01,0.04,0.08,0.06,0.1,0.16,0.02,0.03,0.07,0.02,0,0.01,0.03,0.02,12.21,18.36,0.71,4.48
409,Eswatini,1990,SWZ,5633,822423,3420534784,NA,NA,0.96,0.524,120.17,1.167,0.281,0.278,0.423,0.515,NA,NA,NA,NA,10.01,9.473,NA,NA,0.537,NA,4193.377,1.008,NA,NA,NA,NA,2.626,2.505,1.19,1.447,0.44,0.535,0.537,0.652,NA,NA,3.449,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0.01,NA,2.06,2.16,NA,NA
410,Eswatini,1995,SWZ,5811,926836,4356450304,NA,NA,1.063,-0.015,-1.36,1.146,0.244,0.243,0.454,0.49,NA,NA,NA,NA,14.564,11.134,NA,NA,3.43,NA,4709.346,1.002,NA,NA,NA,NA,2.384,2.287,1.2,1.295,0.42,0.453,0.608,0.656,NA,NA,4.365,NA,0,0.01,NA,0,0,NA,NA,0,NA,NA,NA,0.01,NA,2.12,2.21,NA,NA
411,Eswatini,2000,SWZ,6165,1005432,5050303488,NA,NA,1.209,-0.029,-2.37,1.203,0.239,0.193,0.535,0.532,NA,NA,NA,NA,20.104,13.722,NA,NA,6.382,NA,6235.615,1.241,NA,NA,NA,NA,2.357,2.278,1.33,1.323,0.39,0.388,0.674,0.67,NA,NA,6.269,NA,0,0.01,NA,0,0,NA,NA,0,NA,NA,NA,0.01,NA,2.29,2.37,NA,NA
412,Eswatini,2005,SWZ,7239,1030574,6002942464,NA,NA,1.015,0.015,1.47,0.985,0.169,0.168,0.382,0.371,NA,NA,NA,NA,25.3,15.888,NA,NA,9.412,NA,5853.321,1.005,NA,NA,NA,NA,2.358,2.241,1.37,1.329,0.39,0.378,0.632,0.614,NA,NA,6.032,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0.01,NA,2.31,2.43,NA,NA
413,Eswatini,2010,SWZ,8242,1064841,7332277248,NA,NA,0.997,-0.062,-5.88,0.936,0.136,0.173,0.369,0.346,NA,NA,NA,NA,30.433,17.836,NA,NA,12.598,NA,5413.267,0.786,NA,NA,NA,NA,2.188,2.094,1.26,1.183,0.41,0.385,0.628,0.59,NA,NA,5.764,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0.01,NA,2.23,2.33,NA,NA
414,Eswatini,2015,SWZ,9269,1104038,8445665792,NA,NA,0.868,0.099,12.86,0.786,0.103,0.147,0.136,0.123,NA,NA,NA,NA,35.647,19.598,NA,NA,16.049,NA,5355.087,0.7,NA,NA,NA,NA,2.228,2.119,1.26,1.141,0.38,0.344,0.733,0.664,NA,NA,5.912,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0.01,NA,2.34,2.46,NA,NA
415,Ethiopia,1990,ETH,655,47887864,45030920192,0.14,0.003,2.987,0.192,6.89,0.062,0.066,0.193,NA,NA,3.899,0.081,0.087,2.452,48.681,NA,NA,NA,45.841,NA,323.18,0.344,NA,NA,NA,NA,1.408,1.987,42.32,0.884,24.2,0.505,2.847,0.059,NA,NA,15.476,0.03,0.01,NA,0.02,0.01,NA,NA,NA,0.02,NA,NA,NA,0.03,NA,95.14,67.45,0.913,30.56
416,Ethiopia,1995,ETH,577,57047908,42631098368,0.249,0.004,2.506,0.309,14.05,0.044,0.059,0.181,NA,NA,3.668,0.064,0.086,3.275,62.273,NA,NA,NA,58.61,NA,243.292,0.326,NA,NA,NA,NA,1.136,1.622,40.89,0.717,22.7,0.398,2.257,0.04,NA,NA,13.879,0.04,0.01,NA,0.02,0.01,NA,NA,NA,0.02,NA,NA,NA,0.02,NA,92.51,64.81,1.162,46.38
417,Ethiopia,2000,ETH,621,66224812,50326962176,0.356,0.005,3.463,0.369,11.91,0.052,0.069,0.179,NA,NA,4.975,0.075,0.099,4.78,77.752,NA,NA,NA,72.585,NA,291.501,0.384,NA,NA,NA,NA,1.098,1.542,46.69,0.705,25.38,0.383,3.107,0.047,NA,NA,19.305,0.05,0.01,NA,0.03,0.01,NA,NA,NA,0.02,NA,NA,NA,0.03,NA,102.14,72.74,1.513,43.68
418,Ethiopia,2005,ETH,736,76346312,61634772992,0.622,0.008,4.956,-0.202,-3.92,0.065,0.08,0.173,NA,NA,7.763,0.102,0.126,7.1,101.433,NA,NA,NA,93.946,NA,375.637,0.465,NA,NA,NA,NA,1.172,1.598,54.78,0.718,30.87,0.404,4.335,0.057,NA,NA,28.678,0.06,0.02,NA,0.03,0.01,NA,NA,NA,0.02,NA,NA,NA,0.04,NA,121.97,89.44,2.807,56.63
419,Ethiopia,2010,ETH,1075,87639960,94148632576,0.632,0.007,6.337,-0.117,-1.81,0.072,0.067,0.152,0.132,0.002,9.936,0.113,0.105,10.396,131.799,0.67,NA,NA,120.733,NA,476.799,0.444,NA,NA,NA,NA,1.341,1.711,71.82,0.819,40.1,0.458,5.573,0.064,NA,NA,41.787,0.05,0.02,0,0.04,0.01,0,NA,NA,0.03,NA,NA,NA,0.05,NA,149.91,117.5,3.599,56.8
420,Ethiopia,2015,ETH,1518,100835456,152372019200,2.906,0.029,12.694,0.677,5.63,0.126,0.083,0.173,1.092,0.011,18.038,0.179,0.118,19.306,181.801,4.652,NA,NA,157.843,NA,727.089,0.481,NA,NA,NA,NA,1.357,1.679,79.4,0.787,44.96,0.446,8.696,0.086,NA,NA,73.316,0.2,0.04,0.01,0.05,0.01,0,NA,NA,0.03,NA,NA,NA,0.07,NA,169.34,136.86,5.345,42.11
457,Fiji,1990,FJI,5892,728575,NA,0.032,0.044,0.805,0.18,28.71,1.105,NA,0.148,0.063,0.086,NA,NA,NA,0.908,18.728,1.245,NA,NA,16.576,NA,7450.465,NA,NA,NA,NA,NA,2.347,-1.125,0.69,0.947,0.34,0.467,0.71,0.975,NA,NA,5.428,0.01,0,0,0.01,0,0,NA,NA,0.01,NA,NA,NA,0.01,NA,-0.82,1.71,NA,NA
458,Fiji,1995,FJI,6288,775428,NA,0.037,0.048,0.755,0.017,2.31,0.974,NA,0.132,0.051,0.066,NA,NA,NA,1.081,22.368,1.498,NA,NA,19.789,NA,7354.7,NA,NA,NA,NA,NA,2.502,-0.774,0.83,1.07,0.4,0.516,0.667,0.86,NA,NA,5.703,0.01,0,0,0.01,0,0,NA,NA,0.01,NA,NA,NA,0.01,NA,-0.6,1.94,NA,NA
459,Fiji,2000,FJI,6676,811011,NA,0.038,0.047,0.833,0.058,7.54,1.027,NA,0.108,0.044,0.054,NA,NA,NA,1.267,26.335,1.758,NA,NA,23.309,NA,9555.795,NA,NA,NA,NA,NA,2.404,-0.727,0.79,0.974,0.34,0.419,0.751,0.926,NA,NA,7.75,0.01,0,0,0.01,0,0,NA,NA,0.01,NA,NA,NA,0.01,NA,-0.59,1.95,NA,NA
460,Fiji,2005,FJI,7429,821606,NA,0.056,0.069,1.082,-0.259,-19.29,1.317,NA,0.128,NA,NA,NA,NA,NA,1.501,31.721,NA,NA,NA,28.333,NA,10324.323,NA,NA,NA,NA,NA,2.958,-0.146,0.77,0.937,0.35,0.426,1.026,1.249,NA,NA,8.483,0.01,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,-0.12,2.43,NA,NA
461,Fiji,2010,FJI,7353,859816,NA,0.062,0.072,1.202,0.423,54.37,1.398,NA,0.145,NA,NA,NA,NA,NA,1.772,36.923,NA,NA,0.004,33.261,NA,9651.13,NA,NA,NA,0.004,0.004,2.675,-0.279,0.76,0.884,0.33,0.384,1.136,1.321,NA,NA,8.298,0,0,NA,0.01,0,NA,NA,0,0.01,NA,NA,0,0.01,NA,-0.24,2.3,NA,NA
462,Fiji,2015,FJI,8776,868632,NA,0.078,0.09,1.294,0.05,4.02,1.49,NA,0.172,NA,NA,NA,NA,NA,2.111,42.671,NA,NA,NA,38.669,NA,8679.515,NA,NA,NA,NA,NA,2.302,-0.622,0.37,0.426,0.19,0.219,1.216,1.4,NA,NA,7.539,0.01,0,NA,0.01,0,NA,NA,NA,0.01,NA,NA,NA,0.01,NA,-0.54,2,NA,NA
463,Finland,1990,FIN,28906,4996220,134055206912,0.729,0.146,56.968,4.52,8.62,11.402,0.425,0.179,22.132,4.43,80.214,16.055,0.598,32.971,1492.259,539.387,0.111,36.249,882.41,1.131,64623.629,2.409,0.111,0.022,5.153,1.031,13.943,7.714,8.55,1.711,6.5,1.301,27.712,5.547,0.226,1.131,322.874,0.15,0.25,0.25,0.27,0.18,0.12,0,0.05,0.33,0.06,0.04,0.13,0.3,0.51,38.54,69.66,23.246,40.81
464,Finland,1995,FIN,27596,5119012,131584983040,0.378,0.074,58.14,-3.571,-5.79,11.358,0.442,0.178,24.657,4.817,74.734,14.599,0.568,35.116,1777.973,657.104,0.623,65.839,1013.568,5.724,64919.43,2.526,0.075,0.015,6.509,1.272,13.743,7.664,8.08,1.578,6,1.172,25.616,5.004,0.177,0.905,332.323,0.06,0.25,0.28,0.23,0.19,0.14,0.01,0.07,0.32,0.2,0.03,0.15,0.27,0.41,39.23,70.35,16.594,28.54
465,Finland,2000,FIN,34887,5187953,169209069568,0.505,0.097,57.038,-1.854,-3.15,10.994,0.337,0.162,21.985,4.238,74.489,14.358,0.44,37.379,2080.049,784.096,0.968,102.154,1144.844,10.607,69279.82,2.124,0.058,0.011,7.717,1.487,13.273,7.363,7.09,1.367,5.96,1.149,25.847,4.982,0.178,0.926,359.42,0.07,0.23,0.24,0.2,0.2,0.15,0.01,0.08,0.31,0.26,0.02,0.16,0.25,0.43,38.2,68.86,17.45,30.59
466,Finland,2005,FIN,39116,5258933,192989478912,0.542,0.103,57.047,-11.913,-17.28,10.848,0.296,0.163,21.034,4,81.607,15.518,0.423,39.905,2406.311,926.213,1.264,145.102,1278.351,15.476,67984.719,1.853,0.07,0.013,8.119,1.544,13.105,10.255,5.92,1.126,6.44,1.225,26.359,5.012,0.176,0.924,357.527,0.06,0.19,0.18,0.18,0.2,0.16,0.01,0.1,0.3,0.3,0.02,0.15,0.24,0.38,53.93,68.92,24.559,43.05
467,Finland,2010,FIN,39848,5365784,201743089664,0.526,0.098,64.103,8.167,14.6,11.947,0.318,0.177,29.141,5.431,83.182,15.502,0.412,42.615,2720.122,1063.852,1.672,186.037,1405.775,20.171,69293.148,1.843,0.096,0.018,8.273,1.542,13.94,11.178,5.68,1.059,5.19,0.967,25.149,4.687,0.171,0.919,371.812,0.04,0.19,0.21,0.15,0.2,0.17,0.01,0.11,0.3,0.32,0.03,0.13,0.22,0.37,59.98,74.8,19.079,29.76
468,Finland,2015,FIN,39084,5481128,201843998720,0.462,0.084,44.126,-3.518,-7.38,8.051,0.219,0.139,16.836,3.072,65.104,11.878,0.322,45.083,2971.517,1165.017,2.133,215.953,1519.083,24.247,60069.141,1.631,0.109,0.02,4.728,0.863,9.916,-0.051,5.13,0.936,4.96,0.905,21.308,3.888,0.125,0.684,329.247,0.03,0.12,0.11,0.13,0.2,0.16,0.01,0.1,0.28,0.31,0.03,0.07,0.18,0.23,-0.28,54.35,20.978,47.54
469,France,1990,FRA,29464,56666860,1636207689728,10.796,0.191,392.998,-3.784,-0.95,6.935,0.24,0.149,80.23,1.416,490.807,8.661,0.3,454.555,27420.846,17411.998,54.545,1066.782,8427.949,5.018,46903.129,1.624,4.305,0.076,59.025,1.042,8.75,8.312,70.72,1.248,61.3,1.082,233.624,4.123,0.089,5.018,2657.853,2.16,1.73,0.92,3.75,3.4,3.98,0.67,1.36,3.13,0.27,1.7,1.54,2.53,2.25,471.02,495.85,97.809,24.89
470,France,1995,FRA,30727,57801888,1749671477248,8.487,0.147,385.975,4.949,1.3,6.678,0.221,0.136,62.843,1.087,499.167,8.636,0.285,499.584,29399.627,17763.107,76.366,1405.234,9626.837,28.5,49842.219,1.647,4.345,0.075,68.595,1.187,8.483,8.054,70.75,1.224,61.5,1.064,236.788,4.096,0.085,4.916,2880.974,1.35,1.65,0.71,3.34,3.19,3.7,0.81,1.42,3.05,0.97,1.85,1.63,2.54,2.21,465.53,490.36,113.192,29.33
471,France,2000,FRA,34705,59015092,2031949578240,8.395,0.142,405.901,-5.643,-1.37,6.878,0.2,0.132,65.576,1.111,520.98,8.828,0.256,541.002,31428.627,18092.551,98.003,1797.231,10846.686,53.156,52652.793,1.529,4.213,0.071,84.029,1.424,8.575,8.153,73.13,1.239,49.1,0.832,238.851,4.047,0.082,4.837,3107.309,1.17,1.61,0.73,2.95,3.01,3.45,0.93,1.48,2.97,1.32,1.56,1.77,2.32,2.25,481.14,506.03,115.079,28.35
472,France,2005,FRA,36375,61120128,2238357176320,8.906,0.146,415.518,2.369,0.57,6.798,0.186,0.133,61.992,1.014,542.194,8.871,0.242,584.105,33485.781,18386.354,117.837,2251.118,12069.942,76.427,51577.129,1.408,3.92,0.064,94.211,1.541,8.329,7.241,69.58,1.138,43.53,0.712,241.967,3.959,0.074,4.522,3152.401,0.93,1.4,0.54,2.59,2.83,3.19,0.98,1.53,2.88,1.49,1.18,1.75,2.18,1.88,442.6,509.04,126.677,30.49
473,France,2010,FRA,36815,62879536,2341292736512,7.676,0.122,376.576,7.944,2.16,5.989,0.161,0.127,49.075,0.78,507.29,8.068,0.217,626.26,35420.172,18657.527,139.974,2709.284,13189.145,97.98,47674.25,1.28,4.108,0.065,95.812,1.524,7.516,6.459,67.93,1.08,38.69,0.615,215.87,3.433,0.064,4.035,2997.735,0.62,1.13,0.35,2.21,2.64,2.91,1.01,1.54,2.78,1.53,1.12,1.54,1.91,1.65,406.15,472.62,130.715,34.71
474,France,2015,FRA,37836,64453196,2453072773120,6.407,0.099,329.91,4.025,1.23,5.119,0.134,0.119,37.618,0.584,434.32,6.739,0.177,661.657,37143.172,18872.008,156.022,3135.085,14199.396,119.001,43569.078,1.145,2.857,0.044,80.972,1.256,6.721,5.773,63.12,0.979,39.15,0.607,198.025,3.072,0.063,4.032,2808.166,0.45,0.93,0.26,1.87,2.45,2.63,0.99,1.5,2.66,1.52,0.77,1.19,1.67,1.34,372.12,433.22,104.41,31.65
499,Gabon,1990,GAB,19557,949493,7172590080,0.048,0.05,4.485,-1.273,-22.11,4.723,0.625,0.355,NA,NA,NA,NA,NA,0.95,116.809,NA,53.228,5.12,57.511,NA,13316.276,1.763,3.386,3.566,0.205,0.216,10.774,14.618,5.83,6.14,0.34,0.358,0.846,0.891,NA,NA,12.644,0.01,0.02,NA,0.01,0.01,NA,0.65,0.01,0.02,NA,1.34,0.01,0.01,NA,13.88,10.23,NA,NA
500,Gabon,1995,GAB,19917,1084951,10240901120,0.063,0.058,4.606,0.231,5.28,4.245,0.45,0.379,NA,NA,NA,NA,NA,1.213,140.203,NA,70.734,6.183,62.073,NA,11212.58,1.188,3.425,3.157,0.257,0.237,12.434,15.798,7.92,7.3,0.35,0.323,0.862,0.794,NA,NA,12.165,0.01,0.02,NA,0.01,0.02,NA,0.75,0.01,0.02,NA,1.46,0.01,0.01,NA,17.14,13.49,NA,NA
501,Gabon,2000,GAB,17822,1228359,12538006528,0.085,0.069,4.669,-0.12,-2.5,3.801,0.372,0.407,NA,NA,NA,NA,NA,1.607,164.145,NA,87.736,7.37,67.432,NA,9343.696,0.915,3.309,2.694,0.234,0.191,11.3,14.304,7.29,5.935,0.34,0.277,1.041,0.847,NA,NA,11.477,0.01,0.02,NA,0.01,0.02,NA,0.83,0.01,0.02,NA,1.23,0,0.01,NA,17.57,13.88,NA,NA
502,Gabon,2005,GAB,16955,1390550,16662218752,0.103,0.074,4.859,0.201,4.32,3.494,0.292,0.37,NA,NA,NA,NA,NA,2.117,187.592,NA,103.144,8.689,73.642,NA,9454.775,0.789,3.078,2.213,0.278,0.2,9.974,12.297,7.11,5.113,0.48,0.345,1.4,1.007,NA,NA,13.147,0.01,0.02,NA,0.01,0.02,NA,0.85,0.01,0.02,NA,0.93,0.01,0.01,NA,17.1,13.87,NA,NA
503,Gabon,2010,GAB,15508,1624146,23885381632,0.086,0.053,4.783,0.55,13,2.945,0.2,0.303,NA,NA,NA,NA,NA,2.578,209.004,NA,113.91,10.719,81.796,NA,9708.083,0.66,2.114,1.302,0.619,0.381,8.164,10.147,6.45,3.971,0.59,0.363,1.964,1.209,NA,NA,15.767,0.01,0.01,NA,0.01,0.02,NA,0.82,0.01,0.02,NA,0.58,0.01,0.02,NA,16.48,13.26,NA,NA
504,Gabon,2015,GAB,16685,1947690,35035176960,0.077,0.04,5.269,-0.047,-0.89,2.705,0.15,0.257,NA,NA,NA,NA,NA,2.955,234.823,NA,123.156,14.871,93.841,NA,10528.021,0.585,1.726,0.886,1.019,0.523,7.137,10.469,6.23,3.199,0.62,0.318,2.448,1.257,NA,NA,20.505,0.01,0.01,NA,0.01,0.02,NA,0.78,0.01,0.02,NA,0.46,0.02,0.02,NA,20.39,13.9,NA,NA
505,Gambia,1990,GMB,1445,955595,1331399936,NA,NA,0.198,0.018,10.2,0.207,0.149,0.251,NA,NA,NA,NA,NA,NA,3.243,NA,NA,NA,3.243,NA,824.258,0.592,NA,NA,NA,NA,4.489,5.274,3.99,4.175,0.34,0.356,0.198,0.207,NA,NA,0.788,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,5.04,4.29,NA,NA
506,Gambia,1995,GMB,1358,1128577,1529318528,NA,NA,0.216,0.007,3.51,0.191,0.141,0.24,NA,NA,NA,NA,NA,NA,4.272,NA,NA,NA,4.272,NA,799.623,0.59,NA,NA,NA,NA,3.305,3.978,3.39,3.004,0.35,0.31,0.216,0.191,NA,NA,0.902,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,4.49,3.73,NA,NA
507,Gambia,2000,GMB,1449,1317708,1955249536,NA,NA,0.275,0,0,0.208,0.14,0.217,NA,NA,NA,NA,NA,NA,5.507,NA,NA,NA,5.507,NA,960.46,0.647,NA,NA,NA,NA,1.738,2.375,0.97,0.736,0.39,0.296,0.275,0.208,NA,NA,1.266,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,3.13,2.29,NA,NA
508,Gambia,2005,GMB,1434,1543745,2386414848,NA,NA,0.326,0.004,1.14,0.211,0.137,0.223,NA,NA,NA,NA,NA,NA,7.057,NA,NA,0.015,7.042,NA,948.274,0.613,NA,NA,0.004,0.002,0.991,1.334,0.84,0.544,0.33,0.214,0.322,0.209,NA,NA,1.464,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0,NA,2.06,1.53,NA,NA
509,Gambia,2010,GMB,1552,1793199,3111135744,NA,NA,0.432,0.051,13.46,0.241,0.139,0.215,NA,NA,NA,NA,NA,NA,8.94,NA,NA,0.033,8.907,NA,1120.171,0.646,NA,NA,0.004,0.002,1.232,1.528,1.35,0.753,0.38,0.212,0.429,0.239,NA,NA,2.009,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0,NA,2.74,2.21,NA,NA
510,Gambia,2015,GMB,1481,2085860,3514848000,NA,NA,0.524,0.011,2.14,0.251,0.149,0.226,NA,NA,NA,NA,NA,NA,11.311,NA,NA,0.051,11.259,NA,1111.369,0.66,NA,NA,0.004,0.002,1.127,1.381,1.39,0.666,0.34,0.163,0.52,0.249,NA,NA,2.318,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,0,0,NA,2.88,2.35,NA,NA
511,Georgia,1990,GEO,7984,5410400,65874153472,0.276,0.051,15.945,-0.247,-1.53,2.947,0.242,NA,1.058,0.196,9.956,1.84,0.151,8.504,443.958,64.579,2.623,137.999,230.252,NA,NA,NA,0.119,0.022,8.474,1.566,9.197,5.804,13.76,2.543,2.52,0.466,6.019,1.112,NA,NA,NA,0.06,0.07,0.01,0.07,0.05,0.01,0.03,0.18,0.09,NA,0.05,0.22,0.07,NA,31.4,49.76,-5.989,-37.56
512,Georgia,1995,GEO,2326,4976252,18187137024,0.041,0.008,2.29,-3.778,-62.26,0.46,0.126,0.052,0.157,0.032,2.257,0.454,0.124,9.17,493.378,67.623,NA,168.733,245.118,NA,8893.492,2.433,NA,NA,1.686,0.339,3.396,-0.273,7.34,1.475,1.36,0.273,0.406,0.082,NA,NA,44.256,0.01,0.01,0,0.06,0.05,0.01,NA,0.17,0.08,NA,NA,0.04,0,NA,-1.36,16.9,-0.034,-1.46
513,Georgia,2000,GEO,3527,4362184,23550461952,0.14,0.032,4.5,0.189,4.39,1.032,0.191,0.112,0.059,0.013,5.582,1.28,0.237,9.599,515.609,68.011,NA,177.438,257.825,NA,9214.134,1.707,NA,NA,2.18,0.5,3.267,-0.922,7.58,1.738,1.82,0.417,2.121,0.486,NA,NA,40.194,0.02,0.02,0,0.05,0.05,0.01,NA,0.15,0.07,NA,NA,0.05,0.02,NA,-4.02,14.25,1.082,24.04
514,Georgia,2005,GEO,5245,4210158,32780605440,0.177,0.042,5.018,0.742,17.36,1.192,0.153,0.11,0.18,0.043,7.699,1.829,0.235,10.355,535.721,68.587,2.756,187.791,266.232,NA,10870.097,1.396,0.004,0.001,2.792,0.663,2.941,2.107,6.15,1.461,1.89,0.449,1.865,0.443,NA,NA,45.765,0.02,0.02,0,0.05,0.05,0.01,0.02,0.13,0.06,NA,0,0.05,0.02,NA,8.87,12.38,2.682,53.45
515,Georgia,2010,GEO,6981,4099096,41359867904,0.327,0.08,6.208,0.072,1.18,1.515,0.15,0.109,0.798,0.195,8.221,2.006,0.199,11.535,565.836,70.909,NA,202.004,278.624,NA,13843.399,1.372,NA,NA,2.322,0.566,3.186,2.332,5.76,1.405,1.84,0.449,2.761,0.674,NA,NA,56.745,0.03,0.02,0.01,0.04,0.04,0.01,NA,0.11,0.06,NA,NA,0.04,0.02,NA,9.56,13.06,2.013,32.43
516,Georgia,2015,GEO,9005,4024180,52238069760,0.671,0.167,9.747,0.813,9.1,2.422,0.187,0.143,1.11,0.276,11.486,2.854,0.22,14.597,608.583,76.654,NA,221.813,292.755,NA,16950.881,1.306,NA,NA,4.749,1.18,4.262,4.262,5.52,1.372,2.27,0.564,3.217,0.799,NA,NA,68.213,0.05,0.03,0.01,0.04,0.04,0.01,NA,0.11,0.05,NA,NA,0.07,0.03,NA,17.15,17.15,1.739,17.84
517,Germany,1990,DEU,31287,79053984,2015547621376,15.297,0.193,1052.477,43.684,4.33,13.313,0.522,0.252,568.912,7.196,1189.751,15.05,0.59,779.13,66792.078,53575.273,6.981,2061.997,10357.759,10.936,53035.172,2.08,3.84,0.049,122.3,1.547,14.27,13.626,100,1.265,65.35,0.827,331.191,4.189,0.138,10.936,4192.642,3.06,4.63,6.53,6.42,8.27,12.24,0.09,2.63,3.84,0.59,1.52,3.18,3.59,4.91,1077.16,1128.09,137.274,13.04
